	
µ	µ
ß	ß
à	à
á	á
â	â
ã	ã
ä	ä
ç	ç
è	è
é	é
ë	ë
í	í
î	î
ð	ð
ñ	ñ
ò	ò
ó	ó
ô	ô
õ	õ
ö	ö
ú	ú
û	û
ü	ü
ý	ý
þ	þ
ā	ā
ĉ	ĉ
Č	Č
ē	ē
ě	ě
ĝ	ĝ
ğ	ğ
ġ	ġ
ĥ	ĥ
ī	ī
İ	İ
ı	ı
ĵ	ĵ
ń	ń
ŋ	ŋ
ō	ō
ŝ	ŝ
Ş	Ş
ş	ş
š	š
ū	ū
ŭ	ŭ
ǵ	ǵ
ȣ	ȣ
ɑ	ɑ
ɔ	ɔ
ɕ	ɕ
ə	ə
ɛ	ɛ
ɣ	ɣ
ɪ	ɪ
ɱ	ɱ
ɸ	ɸ
ɹ	ɹ
ʁ	ʁ
ʰ	ʰ
ʲ	ʲ
ʹ	ʹ
ˁ	ˁ
ˈ	ˈ
ˏ	ˏ
ː	ː
́	́
̃	̃
̞	̞
͡	͡
΄	΄
Ά	Á
Έ	É
Ή	Ḗ
Ί	Í
Ό	Ó
Ύ	Ý
Ώ	Ṓ
ΐ	ḯ
Α	A
Β	B
Γ	G
Δ	D
Ε	E
Ζ	Z
Η	Ē
Θ	TH
Ι	I
Κ	K
Λ	L
Μ	M
Ν	N
Ξ	X
Ο	O
Π	P
Ρ	R
Σ	S
Τ	T
Υ	Y
Φ	PH
Χ	CH
Ψ	PS
Ω	Ō
Ϊ	Ï
ά	á
έ	é
ή	ḗ
ί	í
ΰ	ÿ́
α	a
β	b
γ	g
δ	d
ε	e
ζ	z
η	ē
θ	th
ι	i
κ	k
λ	l
μ	m
ν	n
ξ	x
ο	o
π	p
ρ	r
ς	s̱
σ	s
τ	t
υ	y
φ	ph
χ	ch
ψ	ps
ω	ō
ϊ	ï
ϋ	ÿ
ό	ó
ύ	ý
ώ	ṓ
ϐ	b
ϑ	th
ϕ	ph
ϖ	p
Ϙ	Ϙ
ϙ	ϙ
Ϛ	Ϛ
ϛ	ϛ
Ϝ	Ϝ
ϝ	ϝ
Ϟ	Ϟ
ϟ	ϟ
Ϡ	Ϡ
ϡ	ϡ
ϰ	k
ϱ	r
ϲ	s
Ϲ	S
Ϻ	Ŝ
А	A
Б	B
В	V
Д	D
Е	E
З	Z
И	I
К	K
Л	L
М	M
Н	N
О	O
П	P
Р	R
С	S
У	U
Ф	F
Х	H
Э	É
а	a
б	b
в	v
г	g
д	d
е	e
з	z
и	i
й	j
к	k
л	l
м	m
н	n
о	o
п	p
р	r
с	s
т	t
у	u
х	h
ц	c
ч	č
ъ	ʺ
ы	y
ь	ʹ
э	é
ю	û
я	â
ё	ë
і	í
Ѡ	Ѡ
ѡ	ѡ
Ѯ	Ѯ
ѯ	ѯ
Ѱ	Ѱ
ѱ	ѱ
Ө	Ө
Լ	L
Հ	H
Ն	N
ա	a
ի	i
կ	k
յ	y
ն	n
ո	o
ռ	ṙ
ս	s
տ	t
ְ	ĕ
ִ	i
ַ	a
י	y
ם	m
מ	m
צ	ẕ
ר	r
ء	ʾ
ئ	ỷ
ا	ạ
ب	b
ة	ẗ
ت	t
ج	j
خ	kẖ
د	d
ر	r
ز	z
س	s
ص	ṣ
ض	ḍ
ط	ṭ
ع	ʿ
غ	gẖ
ف	f
ق	q
ك	k
ل	l
م	m
ن	n
ه	h
و	w
ي	y
ی	y̰
ḍ	ḍ
ḥ	ḥ
ḫ	ḫ
ṣ	ṣ
ṭ	ṭ
ἀ	a
ἄ	á
Ἀ	A
ἑ	he
ἔ	é
Ἐ	E
Ἑ	HE
ἦ	ē̂
ἧ	hē̂
ἰ	i
ἱ	hi
ἴ	í
ὄ	ó
Ὀ	O
Ὕ	HÝ
ὢ	ṑ
ὦ	ō̂
ὰ	à
ὲ	è
ὴ	ḕ
ὶ	ì
ὸ	ò
ὺ	ỳ
ᾳ	āi
ᾴ	ā́i
ᾼ	ĀI
ῃ	ēi
ῆ	ē̂
ῌ	ĒI
ῒ	ï̀
ῖ	î
ῤ	r
ῥ	rh
ῦ	ŷ
Ῥ	RH
ῳ	ōi
ῶ	ō̂
ῼ	ŌI
​	​
–	–
—	—
―	―
‘	‘
’	’
“	“
”	”
•	•
…	…
‧	‧
′	′
₂	₂
€	€
ℛ	ℛ
→	→
∈	∈
−	−
∩	∩
∪	∪
≠	≠
≡	≡
≤	≤
≥	≥
⊂	⊂
⊆	⊆
⊕	⊕
├	├
┤	┤
ⴰ	ⴰ
ⴷ	ⴷ
ⴻ	ⴻ
ⵔ	ⵔ
ⵢ	ⵢ
ⵣ	ⵣ
府	fǔ
暦	lì
県	xiàn
西	xi
道	dào
都	dōu
	
	
	
